,similarity_score
1035,0.74471563
1036,0.7377765
1037,0.7570529
1038,0.7223225
1039,0.7170644
1040,0.7249216
1041,0.7370204
1042,0.7359755
1043,0.7348521
1044,0.76449704
1045,0.71657205
1046,0.7461025
1047,0.72487116
1048,0.7515954
1049,0.73699486
1050,0.7252513
1051,0.75350755
1052,0.76343
1053,0.75732404
1054,0.74512124
1055,0.7575964
1056,0.7574238
1057,0.7706821
1058,0.7611972
1059,0.7609329
1060,0.7197145
1061,0.7550963
1062,0.76880854
1063,0.7002499
1064,0.74115956
1065,0.71319044
1066,0.7368508
1067,0.7173703
1068,0.73955846
1069,0.7032687
1070,0.7592468
1071,0.7197145
1072,0.7271925
1073,0.68848115
1074,0.72894704
1075,0.7043135
1076,0.70454776
1077,0.76935244
1078,0.7295617
1079,0.74512124
1080,0.7619251
1081,0.77482235
1082,0.72298396
1083,0.7462828
1084,0.76050794
1085,0.7566769
1086,0.7341789
1087,0.7173579
1088,0.7341789
1089,0.7187453
1090,0.7227937
1091,0.7233031
1092,0.70843685
1093,0.7583219
1094,0.7427639
1095,0.7135663
1096,0.709542
1097,0.70575154
1098,0.7434027
1099,0.72313887
1100,0.7143278
1101,0.66849416
1102,0.73769516
1103,0.76050794
1104,0.75824106
1105,0.7597401
1106,0.7333846
1107,0.74608505
1108,0.7659196
1109,0.7547853
1110,0.7208727
1111,0.74015665
1112,0.7604571
1113,0.7693816
1114,0.7228245
1115,0.7228245
1116,0.74015665
1117,0.7569457
1118,0.7569457
1119,0.7524114
1120,0.7524114
1121,0.76935244
1122,0.7317164
1123,0.7307676
1124,0.74512124
1125,0.7232804
1126,0.7547853
1127,0.7534789
1128,0.72572577
1129,0.74562514
1130,0.72726184
1131,0.74512124
1132,0.7777394
1133,0.71614707
1134,0.7076965
1135,0.7569457
1136,0.7187111
1137,0.69926965
1138,0.7423062
1139,0.7539582
1140,0.7811711
1141,0.7478429
1142,0.7070179
1143,0.7624722
1144,0.7643864
1145,0.7291629
1146,0.72803223
1147,0.7357098
1148,0.7361141
1149,0.73769516
1150,0.7547853
1151,0.6840168
1152,0.68848115
1153,0.7130227
1154,0.72913754
1155,0.73738647
1156,0.7259455
1157,0.7158486
1158,0.7161472
1159,0.7547853
1160,0.7595481
1161,0.6415968
1162,0.7379776
1163,0.75775397
1164,0.7547853
1165,0.7410996
1166,0.7619797
1167,0.7336303
1168,0.7336303
1169,0.7549301
1170,0.7336333
1171,0.7458293
1172,0.71884143
1173,0.7574238
1174,0.76709545
1175,0.70358354
1176,0.7366457
1177,0.73769516
1178,0.72144663
1179,0.7374879
1180,0.7374879
1181,0.72756594
1182,0.7374879
1183,0.749851
1184,0.7423785
1185,0.75336945
1186,0.7327738
1187,0.7327738
1188,0.7547853
1189,0.7478429
1190,0.7592468
1191,0.74512124
1192,0.7291629
1193,0.7574238
1194,0.73339474
1195,0.7624722
1196,0.7359366
1197,0.74194914
1198,0.7374285
1199,0.7624722
1200,0.71049714
1201,0.7244823
1202,0.76885945
1203,0.7547853
1204,0.76935244
1205,0.76670724
